Manufacturer,Part Number
Molex Inc,0008500106
TE Connectivity,1217151-1
,
JST Sales America,VHR-3N
JST Sales America,SVH-21T-P1.1
TE Connectivity,2-520181-2
,
Molex,0190700067
TE Connectivity,2-520409-2 
,
ECI screen print,
TE Connectivity,PS0S0SSXA
,
Clarion,H6010-478WHBK
,
,
,
,
,
,
,
,
,
,
,
,
,
,050569
,
,
Adolf-Gordon,ED-FR
Isolateit,0510111-50-10
,
Knowles,TWFK-30017-000
Litz,
Litz,
AVX,08053D105KAT2A
,
,008970
Amphenol-RF Division ,31-315-RFX 
Belden,8216 Coax
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
